community	medium	receiver	donor	compound	scs	mus	mps	smetana
BI__LA	Fructose	BI	LA	M_cpd00001_e0	0.0	0.0	1	0.0
BI__LA	Fructose	BI	LA	M_cpd00007_e0	0.0	1.0	0	0.0
BI__LA	Fructose	BI	LA	M_cpd00009_e0	0.0	0.19	1	0.0
BI__LA	Fructose	BI	LA	M_cpd00011_e0	0.0	0.0	1	0.0
BI__LA	Fructose	BI	LA	M_cpd00012_e0	0.0	0.0	1	0.0
BI__LA	Fructose	BI	LA	M_cpd00013_e0	0.0	0.0	1	0.0
BI__LA	Fructose	BI	LA	M_cpd00020_e0	0.0	0.0	1	0.0
BI__LA	Fructose	BI	LA	M_cpd00023_e0	0.0	0.01	1	0.0
BI__LA	Fructose	BI	LA	M_cpd00024_e0	0.0	0.0	0	0.0
BI__LA	Fructose	BI	LA	M_cpd00027_e0	0.0	0.0	0	0.0
BI__LA	Fructose	BI	LA	M_cpd00030_e0	0.0	1.0	0	0.0
BI__LA	Fructose	BI	LA	M_cpd00033_e0	0.0	0.05	1	0.0
BI__LA	Fructose	BI	LA	M_cpd00034_e0	0.0	1.0	0	0.0
BI__LA	Fructose	BI	LA	M_cpd00035_e0	0.0	0.01	1	0.0
BI__LA	Fructose	BI	LA	M_cpd00039_e0	0.0	0.0	1	0.0
BI__LA	Fructose	BI	LA	M_cpd00041_e0	0.0	0.01	1	0.0
BI__LA	Fructose	BI	LA	M_cpd00042_e0	0.0	0.0	0	0.0
BI__LA	Fructose	BI	LA	M_cpd00047_e0	0.0	0.0	1	0.0
BI__LA	Fructose	BI	LA	M_cpd00048_e0	0.0	0.76	1	0.0
BI__LA	Fructose	BI	LA	M_cpd00053_e0	0.0	0.0	0	0.0
BI__LA	Fructose	BI	LA	M_cpd00058_e0	0.0	1.0	0	0.0
BI__LA	Fructose	BI	LA	M_cpd00059_e0	0.0	0.0	0	0.0
BI__LA	Fructose	BI	LA	M_cpd00060_e0	0.0	0.0	1	0.0
BI__LA	Fructose	BI	LA	M_cpd00063_e0	0.0	1.0	0	0.0
BI__LA	Fructose	BI	LA	M_cpd00064_e0	0.0	0.0	1	0.0
BI__LA	Fructose	BI	LA	M_cpd00065_e0	0.0	0.0	1	0.0
BI__LA	Fructose	BI	LA	M_cpd00066_e0	0.0	0.0	1	0.0
BI__LA	Fructose	BI	LA	M_cpd00067_e0	0.0	0.0	1	0.0
BI__LA	Fructose	BI	LA	M_cpd00069_e0	0.0	0.0	1	0.0
